Glove Type,E,,,,,,,,,,,,,
Handbag Shoulder Drop,,,,,,,,,,,,,,
Handle Strap,,,,,,,,,,,,,,
Harmonized Tariff Schedule Code,E,E,E,E,E,,,,,,,,,
Hat Type,,E,,,,,,,,,,,,
Holiday/Event,,,,,,,,,,,,,,
Hosiery/Sock Type,,,,,,,,,,,,,,
Inner Pack Quantity,,,,,,,,,,,,,,
Knit Type,,,,,,,,,,,,,,
Laser Cut,,,,,,,,,,,,,,
Lead Time,,,,,,,,,,,,,,
League,,,,,,,,,,,,,,
Leather Animal Name,,,,,,,,,,,,,,
Lined,,,,,,,,,,,,,,
Lining Material,E,,,,,,,,,,,,,
Marked Retail Price,,,,,,,,,,,,,,
Material Country of Origin,,,,,,,,,,,,,,
Metal Feet,,,,,,,,,,,,,,
Min Order Quantity,,,,,,,,,,,,,,
Neckwear Type,,,,E,,,,,,,,,,
Occasion,,,,,,,,,,,,,,
Officially Licensed,,,,,,,,,,,,,,
Order Quantity Multiple,,,,,,,,,,,,,,
Padded,,,,,,,,,,,,,,
Player Name,,,,,,,,,,,,,,
Pocket Details,,,,,,,,,,,,,,
Primary Detail Application,,,,,,,,,,,,,,
Primary Detail Logo ,,,,,,,,,,,,,,
Primary Detail Placement,,,,,,,,,,,,,,
Primary Detail Size,,,,,,,,,,,,,,
Primary Detail Type,,,,,,,,,,,,,,
Primary Motif Theme,,,,,,,,,,,,,,
Prop 65,E,E,E,E,E,,,,,,,,,
Raw Materials Certifications,,,,,,,,,,,,,,
Re-orderable ,,,,,,,,,,,,,,
Reversible,,,,,E,,,,,,,,,
Scarf Type,,,,E,,,,,,,,,,
Seams,,,,,,,,,,,,,,
Secondary Detail Application,,,,,,,,,,,,,,
Secondary Detail Logo,,,,,,,,,,,,,,
Secondary Detail Placement,,,,,,,,,,,,,,
Secondary Detail Size,,,,,,,,,,,,,,
Secondary Detail Type,,,,,,,,,,,,,,
Secondary Motif Theme,,,,,,,,,,,,,,
Selling Channel,,,,,,,,,,,,,,
Shippable Package/Carton,,,,,,,,,,,,,,
Special Item Code,,,,,,,,,,,,,,
Sport,,,,,,,,,,,,,,
Steamable,,,,,,,,,,,,,,
Stretch,,,,,E,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,,,,,,
Supply Type,,,,,,,,,,,,,,
Sustainable Materials,,,,,,,,,,,,,,
Sustainable Packaging,,,,,,,,,,,,,,
Tag,,,,,,,,,,,,,,
Team Name,,,,,,,,,,,,,,
Third Detail Application,,,,,,,,,,,,,,
Third Detail Logo,,,,,,,,,,,,,,
Third Detail Placement,,,,,,,,,,,,,,
Third Detail Size,,,,,,,,,,,,,,
Third Detail Type,,,,,,,,,,,,,,
Third Motif Theme,,,,,,,,,,,,,,
Vendor Collection Name,,,,,,,,,,,,,,
Water Repellent,,,,,,,,,,,,,,
Wrinkle Resistant,,,,,,,,,,,,,,
Totals,=COUNTA(B4:B126),=COUNTA(C4:C126),=COUNTA(D4:D126),=COUNTA(E4:E126),=COUNTA(F4:F126),,,,,,,,,
