Pocket Details,,,,,,,,,
Primary Detail Application,,,,,,,,,
Primary Detail Logo ,,,,,,,,,
Primary Detail Placement,,,,,,,,,
Primary Detail Size,,,,,,,,,
Primary Detail Type,,,,,,,,,
Primary Motif Theme,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E
Raw Materials Certifications,,,,,,,,,
Re-orderable ,,,,,,,,,
Reversible,,,,,,,,E,
Secondary Detail Application,,,,,,,,,
Secondary Detail Logo,,,,,,,,,
Secondary Detail Placement,,,,,,,,,
Secondary Detail Size,,,,,,,,,
Secondary Detail Type,,,,,,,,,
Secondary Motif Theme,,,,,,,,,
Selling Channel,,,,,,,,,
Shapewear Type,E,E,E,E,E,,,E,E
Shippable Package/Carton,,,,,,,,,
Skirt Type,,,,,,,,,
Sleepwear Type,,,,,,,,,
Sleeve Measurement,,,,,,,,,
Sleeve Type,,,,,,,,,
Slip Split,,,,,E,,,,
Slip Type,,,,,E,,,,
Social Certifications,,,,,,,,,
Special Embellishment,,,,,,,,,
Special Item Code,,,,,,,,,
SPF Rating,,,,,,,,,
Sport,,,,,,,,,
Steamable,,,,,,,,,
Strap Placement,E,,,,,,,,
Stretch,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,
Supply Type,,,,,,,,,
Support Level,1,,,E,,,,,
Sweater/Pullover Type,,,,,,,,,
Tag,,,,,,,,,
Team Name,,,,,,,,,
Third Detail Application,,,,,,,,,
Third Detail Logo,,,,,,,,,
Third Detail Placement,,,,,,,,,
Third Detail Size,,,,,,,,,
Third Detail Type,,,,,,,,,
Third Motif Theme,,,,,,,,,
Vendor Collection Name,,,,,,,,,
Waist Rise,,,,,,,,,
Waistband Type,,,,,,,,,
Water Repellent,,,,,,,,,
Wrinkle Resistant,,,,,,,,,
=COUNTA(A4:A143),=COUNTA(B4:B143),=COUNTA(C4:C143),=COUNTA(D4:D143),=COUNTA(E4:E143),=COUNTA(F4:F143),=COUNTA(G4:G143),=COUNTA(H4:H143),=COUNTA(I4:I143),=COUNTA(J4:J143)
