Panty Back Coverage,,,,,,,,,
Panty Type,,,,,,,,,
Player Name,,,,,,,,,
Pocket Details,E,E,E,E,E,E,E,E,E
Primary Detail Application,,,,,,,,,
Primary Detail Logo ,,,,,,,,,
Primary Detail Placement,,,,,,,,,
Primary Detail Size,,,,,,,,,
Primary Detail Type,,,,,,,,,
Primary Motif Theme,,,,,,,,,
Prop 65,E,E,E,E,E,E,E,E,E
Raw Materials Certifications,,,,,,,,,
Re-orderable ,,,,,,,,,
Reversible,,,,,,,,,
Secondary Detail Application,,,,,,,,,
Secondary Detail Logo,,,,,,,,,
Secondary Detail Placement,,,,,,,,,
Secondary Detail Size,,,,,,,,,
Secondary Detail Type,,,,,,,,,
Secondary Motif Theme,,,,,,,,,
Selling Channel,,,,,,,,,
Shapewear Type,,,,,,,,,
Shippable Package/Carton,,,,,,,,,
Skirt Type,,,,,,,,E,
Sleepwear Type,,,,,,,,,
Sleeve Measurement,,,,,,,,,
Sleeve Type,E,E,E,E,E,E,,,
Slip Split,,,,,,,,,
Slip Type,,,,,,,,,
Social Certfications,,,,,,,,,
Special Embellishment,,,,,,,,,
Special Item Code,,,,,,,,,
SPF Rating,,,,,,,,,
Sport,,,,,,,,,
Steamable,,,,,,,,,
Strap Placement,,,,,,,,,
Stretch,,,,,,,,,
Supplemental Circularity Certifications,,,,,,,,,
Supplemental Corporate/Philanthropic,,,,,,,,,
Supplemental Packaging Certifications,,,,,,,,,
Supplemental Raw Material Certifications,,,,,,,,,
Supplemental Traceability Programs ,,,,,,,,,
Supplier Suggested Retail,,,,,,,,,
Supplier Wholesale Price,,,,,,,,,
Supply Type,,,,,,,,,
Support Level,,,,,,,,,
Sweater/Pullover Type,,,,E,,,,,
Tag,,,,,,,,,
Team Name,,,,,,,,,
Third Detail Application,,,,,,,,,
Third Detail Logo,,,,,,,,,
Third Detail Placement,,,,,,,,,
Third Detail Size,,,,,,,,,
Third Detail Type,,,,,,,,,
Third Motif Theme,,,,,,,,,
Vendor Collection Name,,,,,,,,,
Waist Rise,,,,,,,E,,E
Waistband Type,,,,,,,E,E,E
Water Repellent,,E,,,,,,,
Wrinkle Resistant,E,E,E,,,,,E,E
Totals,26,28,25,26,22,22,24,24,26
